و,and,رو,مثال,پست
شرایط,conditions,بکار,تا,شرح
ایتالیا,Italy,جمهور,نیاز,رشد
سینما,movie theater,خون,دومین,استان
صنایع,industries,دانشگاه,پدر,بی
استقلال,independence,همچون,دسته,تیم
بهمن,February,شرح,بخش,شبه
گرم,warm,حقوق,نتایج,کوتاه
تیر,tir,سالهای,مانده,هستند
قدیم,old days,تو,بوده,ریشه
مشغول,occupied,شبکه,کارشناسی,زبان
عبارت,style,هنری,بکار,کوه
پادشاهی,royal,معروف,پاسخ,خدمات
ساله,year old,ساختمان,ان,تبدیل
یافته,found,جهان,هجری,تبدیل
ترک,turkish,ناشر,هند,وزیر
پاریس,Paris,دره,یافت,صاحب
متن,text,تیر,فارس,گذشته
تعیین,determination,داشتند,بازیابی‌شده,دانشگاه‌های
ژوئن,June,واحد,د,انسان
مادر,mother,اقدام,بالا,لازم
نزدیکی,proximity,گرم,عرضه,تصویب
مکان,place,قمری,گاهی,یاد
میانه,middle,عربستان,انگلیسی,جامعه
مذهبی,religious,آنچه,قوانین,خبرگزاری
پایتخت,capital,هوایی,کرده‌اند,پادشاه
خرداد,month,برخی,آسیا,ششم
دومین,second,اشعار,صفحه,داشته
فوریه,February,آقای,سبز,عدم
درون,interior,افزایش,کنار,اجرا
جنبش,tremor,معمولا,انرژی,شب
بندی,prisoner,دلیل,نموده,خط
ساختار,structure,موضوع,حمله,بنابراین
برنده,winning,یافت,کتابخانه,تابع
سپاه,corps,شوروی,یافت,مساحت
وقت,time,هدف,سیستم,بودن
نقاط,spots,رفت,اسلامی,جمع
گزارش,report,مجلس,دهستان,شب
فعال,energetic,گاه,کتاب,بیشتری
حق,right,لحاظ,پسر,قتل
جدا,seriously,قهرمان,فضایی,فهرست
خدمات,services,مقام,گردید,سد
عصر,age,رویدادها,دل,سخن
بدست,by,اندازه,ابراهیم,بخشی
خلیج,gulf,حضور,حتی,سیاسی
ام,mother,احمد,تر,پا
عبدالله,Abdullah,پس,آهنگ,نزدیک
اداره,office,تنها,مستقیم,موتور
بعدی,subsequent,تقویم,دانشگاه,درون
جامع,universal,نیروی,رهبری,زادگان
مرحله,stage,می‌کردند,جرم,درجه
دریا,sea,فرانسه,هوا,نویسنده
سری,series,معرفی,سابق,لازم
سیاست,politics,پست,افراد,دریایی
زندان,prison,مدتی,مردان,طول
بطور,manner,مرحله,اشاره,زبان
کاربرد,utilization,در,می‌گوید,ماه
مدل,model,موسیقی,زمان,درمان
وسیله,tool,تصویر,پایتخت,شرایط
المپیک,olympic,استقلال,داشتند,میرزا
فشار,thrust,چهارم,جوایز,فصل
بلند,tall,عصر,آتش,کار
امر,order,جایزه,مي,جنگ
بعدها,thereafter,البته,درگذشت,در
مقاله,article,نماینده,تنها,احمد
آموزشی,education,کار,بیش,یافته
تو,your,موسوی,خورشیدی,پایگاه
کمتر,rarely,جمع,پایان,طبق
رفته,gone,خارج,بوده,سد
مراسم,ceremony,شیر,گردد,نامیده
صنعت,industry,نامزد,داستان,کل
آبی,watery,کل,فرمان,تعدادی
نرم,soft,سمت,شد,کم
تلویزیون,television,تقسیم,اجرام,آباد
بلکه,but also,آقای,کارگردان,سرانجام
شیعه,shi'a,وقتی,موتور,علت
رهبری,leadership,آلبوم,اساسی,گل
محله,neigborhood,منجر,البته,به
شش,six,اطلاعات,شاه,قمری
گروهی,in group,شورای,جوان,ژوئیه
حوزه,domain,کنید,نو,شمالی
امروز,today,داخلی,پروژه,باز
سرانجام,finally,میلاد,سابق,آتش
جغرافیایی,geographical,باعث,عضو,ناشر
عدم,lack,متن,منطقه,جشنواره
امیر,prince,طبیعی,چشمه,آمده
موسسه,institution,اعلام,نقشه,نوامبر
توان,strength,ترکیب,نور,می‌گوید
پاپ,Pope,گیری,خدا,همان
دفتر,office,سال‌های,طبق,پی
متفاوت,different,اجازه,روم,مدیر
لحاظ,respect,ساخته,کشورهای,نمونه
ساز,musical instrument,عدد,بازی,نوشته
مدتی,for some time,اند,منظور,مردم
سبز,green,دوست,کمتر,همکاری
کتابخانه,library,بخش,تر,کانادا
بسته,tied,مشاهیر,براساس,شبه
بنابراین,therefore,مقاومت,گفت,تو
سلطان,sultan,امکان,نسخه,آباد
اوت,August,منتشر,نشر,اکنون
راست,TRUE,می‌کند,خودش,یکی
مجله,periodical,مدیریت,ساکن,بین‌المللی
عرب,Arab,باز,تهیه,روستا
درخت,tree,دست,از,پیروزی
دل,stomach,تعیین,علت,جشنواره
تمامی,all,بنابراین,عالی,اروپا
آتش,fire,هنگام,شیر,دوباره
تابع,subordinate,دور,می‌توانند,قرمز
آهنگ,tune,پاریس,شیخ,حساب
آلمانی,Germanic,اختلاف,فنی,فضایی
دوباره,second,اینکه,مصرف,جهانی
خدمت,service,كه,زادگان,نقاشی
ثابت,steady,مانده,ها,بی‌بی‌سی
فراهم,ready,پارک,المللی,احمد
مقدس,sacred,پاسخ,رفته,توسط
گرفتن,take,نزدیکی,ص,تعیین
ورود,import,ژاپن,امکان,سر
بصورت,like,دانشگاه‌های,منجر,شوروی
مطرح,bring up,پشت,‌ها,هزار
مالی,monetary,آبان,دورهٔ,فضای
قتل,murder,حسن,گیاهان,یافت
رتبه,rank,پی,فضایی,مفهوم
سبب,reason,رده,تحصیل,پرواز
شهرت,surname,بازیابی‌شده,نظیر,نسبت
کشوری,civil,معمولا,سال‌های,طرف
ترکیه,Turkey,قرآن,بهار,تأسیس
حالی,present,نقاط,می‌کردند,برد
ضد,contrary,حال,عرب,کل
مه,May,متال,فنی,اجرا
یونان,Greece,عدم,دوره,می‌گویند
نزد,with,اداره,ژوئیه,شهرستان
سنت,tradition,رنگ,روستاهای,حمل
روابط,relations,میراث,مدل,تصویر
مناسب,ranks,کشته,تفسیر,ویژه
هوا,weather,فهرست,شیخ,تاکنون
محدود,limited,همین,البته,عبدالله
دفاع,defense,تقویم,خبر,بهمن
سنتی,traditional,آنکه,پخش,دفاع
عربستان,Saudi Arabia,تاکنون,زمین,کلی
اهمیت,importance,رودخانه,زیرا,برخی
روم,Rome,مدل,روستاهای,محسن
ساده,simple,مرکزی,دریافت,معمولاً
کرمان,Kerman,کامپیوتر,ارشد,آنچه
کره,Korea,کردند,ایجاد,ریشه
بهره,profit,مسائل,نیروی,اوایل
عشق,love,خلیج,توابع,ابراهیم
چپ,left,پا,هایی,حتی
معمولا,usually,سیاه,رود,دلار
رمان,novel,دارای,سد,پشت
شهید,martyr,دریای,خبر,ریشه
خورشید,sun,دره,مقاومت,شکل
تلاش,struggle,جمهوری,فشار,بی‌بی‌سی
ترکیب,combination,خرداد,کم,گوناگون
یونانی,Greek,محیط,شده‌است,ساکن
حفظ,protection,بیماری,خلیج,فرهنگ
تجاری,trade,خورشیدی,مکان,طور
وضعیت,situation,شاه,ماه,استرالیا
فضایی,space,تیم,چرا,اهالی
دنبال,after,می‌دهند,شد,منظور
اصول,principles,انگلستان,جریان,ان
جشن,ceremony,تحصیل,ماشین,می‌شوند
امپراتوری,imperial,ایالت,اردیبهشت,بود
ملل,nations,زاده,اهمیت,باستان
بشر,mankind,مساحت,آموزش,تعریف
تاسیس,establishment,گلستان,روی,سال‌های
نیمه,half,باشد,دره,می‌گوید
اقدام,step,منجر,خانواده,تحت
حد,limit,نمایش,ژانویه,فعال
برق,shine,عوامل,ژاپن,بیش
خلق,temper,راست,دکتر,دانشگاه
یکدیگر,one another,جمع,باشد,جام
جا,space,نسبت,باستان,ان
آسیا,Asia,سازمان,اولیه,دختر
ژوئیه,July,پرواز,نبرد,دیده
حاصل,result,اخیر,جرم,اصل
سخت,hard,پیش,قرمز,واحد
اواخر,end,کمک,نیاز,فعال
رابطه,relation,رنگ,موارد,اتحاد
گوناگون,various,خدمات,طور,همکاری
قوانین,rules,کلی,ماشین,خط
بزرگی,size,بیرون,ج,داشتند
درآمد,income,مسعود,جنوبی,منبع
خبر,report,قالب,بستک,آورد
لندن,London,درباره,عصر,عشق
مراکز,centers,فشار,من,گل
سرخ,red,م,ساعت,فعال
اعداد,numbers,دو,انسانی,برتر
ماهی,monthly,کارگردانی,مردان,محله
جز,except,هایی,ساخت,تپه
زندگینامه,biography,بندر,کارگردانی,همانند
وزن,weight,جامع,آسیا,پیرامون
مستقل,independent,معروف,ان,دسترسی
مشهد,Meshed,عبور,چند,ه
کمی,scarcity,پا,برتر,اینترنتی
پیروزی,victory,بسیار,جعبه,جز
مشاهده,perception,اگر,شرقی,زیبا
جوان,young,بهترین,شده‌اند,سلطنت
گاز,gauze,ابن,طور,انتقال
ادبی,literary,یا,تقویم,داشتن
صاحب,Saheb,ابن,دادگاه,نمایندگان
آنکه,whoever,برج,داخل,کیلومتر
مرتبط,correlated,نفر,بیمارستان,اطراف
حل,solution,وجود,جنسی,تولید
مانده,remaining,قرآن,بکار,شوروی
برده,won,ثابت,بیش,تلویزیونی
کاری,effective,پسر,چرا,بیست
قم,Qom,ارومیه,جمله,سر
بهار,spring,ثبت,می‌دهند,می‌گویند
اختیار,free will,بازی‌های,د,اروپا
درست,correct,حتی,جزیره,هزار
تاکنون,so far,خارجی,برگزار,دفاع
سابق,former,خوانده,بسیاری,است
کشتی,ship,روش,آن,خاک
صد,hundred,نویسندگان,آن,محمد
هنرمند,talented,مرتبط,سه,نویسنده
موقعیت,situation,گروه,ه,وب
پا,foot,گاهی,آمریکایی,کلمه
برادر,brother,بعدها,مسابقات,مطالعات
تعدادی,some,میلاد,بدین,یافته
برج,tower,همچون,هنرمند,برخوردار
گیتار,guitar,پیش,اداره,فرزند
گاهی,sometimes,شد,حسن,قرن
باب,subject,قابل,عراق,جز
خویش,relative,داشته,بالا,فیلم
فنی,technical,سرخ,خدمات,اعمال
صدا,voice,دل,چاپ,خانوار
کانادا,Canada,حمله,فارسی,واژه
آقای,Mr.,وزیر,اولیه,تعیین
دید,visibility,عنوان,تصویب,بلند
تحصیلات,education,علمی,می‌کرد,زن
تصمیم,decision,عنوان,باغ,کردند
محمدرضا,Mohammad Reza,طبق,کنند,آنها
پرورش,training,ثبت,قدر,بازیگر
مدیر,manager,جدید,پهلوی,نور
استاندارد,standard,شدن,آتش,چهار
پیشین,former,مختلف,آموزشی,تن
مشترک,subscriber,استان‌های,پیوند,قتل
جلوگیری,prevention,نیمه,می‌کند,شد
اخیر,recent,حالی,اول,اوایل
چیزی,something,شده‌اند,طرف,دسته
تشخیص,recognition,نشر,بوده,او
کلمه,word,سرانجام,طبقه,نماید
اکثر,most,گرفته,مدیریت,محصول
نبرد,conflict,هدایت,آنکه,هاي
برتر,superior,آمریکا,کلمه,کرد
اتحادیه,union,بندی,حاصل,علیه
دره,valley,آنان,تشخیص,شخصیت
اضافه,increase,رادیو,اکثر,لحاظ
رهبر,leader,سمت,دارند,لازم
قهرمانی,championship,قبلی,بیمارستان,پاریس
اینترنت,Internet,وقت,نموده,ایران
ریشه,stem,محسن,می‌شود,حتی
نبود,lack,نمایش,گلستان,کلمه
سخن,speech,پدرش,کشورهای,نو
مقاومت,resistance,تولید,مطالعات,مجموعه
حساب,score,تأثیر,اجرام,کنترل
شبیه,similar to,فیلم‌های,را,هنگام
سعید,Said,مدیریت,مشخص,تعیین
مرداد,Mordad,اسپانیا,تقریباً,پیوند
اجازه,permission,شناخته,باقی,مفهوم
ریاضی,mathematics,بکار,اندازه,نشانی
شهریور,Shahrivar,مبارزه,چپ,باشند
زیبا,Ziba,محیط,مستقیم,کودکان
منجر,resulting,داشته,نمایش,بنیاد
امنیت,security,اندازه,خورشید,گلستان
ساکن,resident,است,ج,خاص
داشتن,have,شخصی,قدیم,یکی
شبه,phantom,دیده,مردان,کوچک
نقشه,plan,دنبال,پیرامون,پروژه
پاسخ,reply,خودش,منبع,تشخیص
جاده,road,برگزار,ص,ساختار
پیام,message,رو,دوره,زمانی
اسماعیل,Esmail,داخل,سه,و
نتایج,results,خاک,طراحی,هم
آهن,iron,المپیک,وسیله,شده‌اند
عبور,passing,المللی,استان‌های,جام
براساس,based on,برتر,موجود,اولیه
بانک,bank,برادر,صنعتی,تحت
خیلی,very,می‌گیرد,بدین,بشر
کالیفرنیا,California,مستقیم,بر,هیچ
شخصیت,personality,مهاجرت,دادگاه,پاریس
ماشین,machine,تدریس,وبگاه,موجود
نگاه,look,تشکیل,دانشگاه‌های,ماه
الکتریکی,electric,هوای,مدیر,انجام
دسترسی,availability,منبع,حسن,ملل
هدایت,guidance,معاصر,اصفهان,بلکه
آنچه,what,رئیس,معمولا,شورای
مطالعه,study,کشور,رادیو,واحد
حاج,hajji,جایزه,تئاتر,توسط
ایستگاه,station,قهرمان,دختر,میراث
پرواز,flight,بزرگ‌ترین,بازی,بیمارستان
اختلاف,inequality,خدمات,کردند,الدین
نظیر,such as,رادیو,تحصیل,جنسی
مهاجرت,immigration,غربی,روستاهای,سالهای
چرا,why,ملی,می‌رود,به
مسائل,problems,سر,جغرافیایی,نشر
بنام,famous,عبور,اردیبهشت,زنان
چشمه,spring,واحد,مذهبی,جهت
خودش,itself,محمد,آزادی,امروز
ترکی,Turkish,سی,جزیره,گرفت
پول,money,دوباره,شمالی,اکتبر
قهرمان,winner,دانشجویان,نظیر,سیاه
خبرگزاری,news agency,موفق,هیچ,باستان
حکم,verdict,ساکن,شبه,فعالیت
دینی,religious,جمهوری,بی,تاسیس
کامپیوتر,computer,علمی,مذهبی,مشهور
طبقه,stratum,گفته,برنامه,ولی
دوست,friend,موارد,آزادی,دستگاه
آذر,Azar,هزار,امر,صدا
ولایت,province,تصویب,رخ,نزد
روشن,on,ششم,فرد,حدود
جرم,sediment,مسجد,دقیقه,خوبی
اوایل,start,اسلام,داستان,آزاد
هشت,eight,نقطه,شبه,دومین
متعلق,dependent,انتشارات,ايران,بدن
شخص,person,معمولاً,جنگ,هدف
اتحاد,union,آفریقا,رضوی,یک
خوانده,read,طرف,حضور,تر
محصول,product,برگزار,المپیک,گیلان
بنیاد,basis,محلی,شده‌است,روابط
شیمیایی,chemical,ترین,مدتی,مهم‌ترین
ارزش,worthiness,بیست,فارسی,آب
سد,dam,انقلاب,قانون,فراهم
تخت,flat,هرمزگان,هر,کشف
رخ,rukh,تلاش,موجب,کارشناسی
دریاچه,pond,اروپا,مستقیم,امور
قبلی,previous,ش,تولید,می‌رسد
گسترده,widespread,جریان,نتیجه,اغلب
شمسی,solar year,رودخانه,مرکزی,مسائل
مستقیم,straight,شکل,بوده,طبق
استرالیا,Australia,براساس,اکنون,تحقیقات
پیشنهاد,suggestion,متعلق,کسب,توسط
قرمز,red,دورهٔ,اولین,بخش
همیشه,always,قدر,مکان,اروپا
نقاشی,portrait,دفاع,اقتصاد,تاسیس
حقیقت,truth,رتبه,زیادی,زیاد
جنسی,sexual,بزرگترین,حسن,فرد
هفته,week,حوزه,فهرست,تعداد
آبان,Aban,شهری,حکم,نامزد
عمده,primary,نمود,ماشین,وضعیت
فرمان,steering wheel,پا,تبدیل,رهبر
پوشش,covering,آنان,فعالیت,سرزمین
مرز,frontier,عربستان,افغانستان,استان‌های
آخر,last,تابع,زمانی,پنجم
مبارزه,fight,نویسنده,بین,بوده
شدید,severe,شمالی,شیخ,خانوار
برخوردار,wealthy,عملیات,آورد,ماده
سلطنت,Saltanat,آثار,ملی,تصویب
تئاتر,theater,جنگ,اهل,عصر
شدت,intensity,میلیون,غربی,خانوار
ترانه,Taraneh,جنوبی,ژانویه,دلیل
نگهداری,protection,نشانی,وسیله,را
مفهوم,uderstood,ناحیه,هفته,این
عرضه,supply,جغرافیایی,آمده,درجه
اکبر,Akbar,اما,خیابان,آبان
متحد,united,هنگام,دیده,قالب
کاخ,palace,درگاه,فوق,جمهور
جدول,table,قهرمانی,پنج,دریای
کمونیست,communist,باشد,کار,شرق
تدریس,instruction,ساده,تاسیس,بالا
عوامل,factors,انرژی,جنوب,مشاهیر
دادگاه,court,اتحادیه,گاز,شبکه
اردیبهشت,Ordibehesht,یافت,تیر,قاجار
تک,unique,نظام,این,حمایت
همانند,similar,چندین,آوریل,امیر
محسن,Mohsen,فشار,دومین,دهستان‌های
تدوین,compilation,نگاه,بین,گسترده
قالب,mold,ترکیب,آنجا,آنان
گلستان,rose garden,مسجد,بازیگران,اطراف
ورودی,imported,کردن,اعدام,آنها
گیلان,Gilan,حمایت,اداره,اکثر
پست,post,زمین,هنگام,دوره
عبارتند,include,مشاهده,قابل,بدن
اشعار,stating,توسط,شبکه,یعنی
آفریقا,Africa,درمان,مراسم,رفت
پروژه,project,مختلف,نگاه,جمعیت
بنابر,based on,آلمانی,ترکی,او
خصوصی,special,شعر,شمسی,موسیقی
توزیع,distribution,ثبت,برج,جمعیت
نماینده,representative,غربی,دادگان,داده
خوبی,kindness,گلستان,یا,ویژه
رسیدن,reach,وارد,شهید,پیوند
ارشد,superior,ویکی,حرکت,را
پیرامون,regarding,وقت,کتاب,گزارش
مسعود,Masood,مفهوم,نقل,بسته
شیر,valve,شبیه,عربستان,همسر
موتور,motor,دین,محصول,کشته
موسوی,Musavi,شبیه,يا,بازیگر
اعدام,execution,کشتی,ملی,مدتی
حاکم,ruling,تعدادی,با,همسر
احتمال,probability,ابتدا,شکل,جان
نامزد,nominee,شخصیت,قتل,ارزش
اسفند,Esfand,شهریور,عمومی,انسانی
مشاهیر,famous people,موقعیت,اسفند,سلطان
اعمال,functions,ارائه,فنی,نخستین
تفسیر,interpretation,توسط,جهانی,سری
کردستان,Kurdistan,اند,بیشتر,منظور
تصویب,approval,اعلام,آن,عامل
میراث,legacy,آلبوم,اتحادیه,امروزه
شهرداری,municipality,مهر,تبریز,پاپ
بیمارستان,hospital,دست,طراحی,زندان
and,هم,passing,strong,engineering
regarding,عطف به,wealthy,transplantation,chemical
to,بخدمت,relation,rule,independence
than,غیر از,operations,province,production
that,که,soul,ten,score
this,این,right,inside,Imam
with,به همراه,speech,factors,dry
row,رده,televised,union,movement
those,آن,moon,sour,sour
year,سال نجومی,percentage,because,start
in order to,برای آن که,war,science,one another
one,یک,training,Qom,general
Iran,ایران,movie theater,old,black
she,ایشان,handle,winter,Russia
over,بر بالای,various,someone,Gilan
title,عنوان,with,left,outside of
sources,منابع,therefore,transportation,right
until,الی,cheap,proximity,beginning
their,مال آنها,death,Shahrivar,lack
or,چه چه,bottom,summer,stratum
Kurdish,کرد نشین,festival,year old,age of
history,تاریخ,boy,trohpy,
town,شهر کوچک,worst,out,history
too,همچنین,inhabitant,worth,tied
asteroid,ستارک,very,museum,on
province,شهرستان,worst,dry,time
two,استوار,famous,execution,city
agreement,توافقنامه,ugly,bad,imaginary
then,آنگه,far,Qom,movement
province,شهرستان,real,word,family
one,یک,large,orient,reason
portion,جزء,bottom,careful,supreme
other,نوع دیگر,go,start,fundamental
title,عنوان,album,Saheb,factors
outside of,بیرون,truth,face,ugly
she,ایشان,sour,science,country
tongue,لسان,New York,illustration,uncertain
Tehran,تهران,Tehran,religious,against
transplantation,پیوند,tir,illustration,other
too,همچنین,girl,industries,bad
University,دانشگاه,kind,Azar,tune
utilization,به کارگیری,appearance,soft,far
A.D.,میلادی,asleep,report,their
every,هرکدام,prominent,participation,inside
unconditional,غیر شرطی,historic,Turkish,square
person,نفر,Persian,problems,industrial
country,بوم,second,very,open
national,ملی,station,real,including
society,انجمن,queen,hot,ministry
presence,حضر,child,length,king
America,امریکا,leader,Abdullah,easy
through,از توی,trace,project,scared
times more,برابر,valley,view,like
work,کار,start,middle,rest
they,آنها,dry,proximity,kind
small,کوچک,foundation,resumption,world
under,کسری دار,doctor,science,electric
negative,نافی,large,institution,known
face,رخ,unit,brother,case
Mohammed,محمد,good,spreading,cry
book,مصحف,small,treatment,woman
but,ولی,early,province,stranger
zinc,روی زدن,kind,society,state
time,زمان,view,theater,struggle
what,چه,brave,land,style
hand,دست,parliament,even,ugly
September,سپتامبر,on,laugh,results
between,بین,plan,structure,end
rural district,دهستان,face,first,speech
central,میانی,prominent,approval,other
life,جان,ceremony,illegal,relation
center,کانون,well-known,new,free
then,آنگه,they,truth,fire
too,همچنین,then,ten,right
to,بخدمت,open,start,weak
daytime,روز,past,inspection,area
with,به همراه,hot,technical,queen
dill,شود,person,imprison,struggle
source,محل,watery,unknown,out
Persian,فارسی,story,philosophy,first
first,نزست,Hey,gone,or
Islamic,اسلامی,because,queen,governmental
people,ناس,help,easy,small
group,دسته,found,no,brave
large,سترگ,ministry,times more,expansion
water,ماء,beautiful,table,fortress
inhabitant,اهل,bitter,ugly,except
NASA,ناسا,after,straight,children
related,وابسته,report,illness,share
portrait,نقاشی,space,imaginary,closed
original,عینا,frontier,fight,start
participation,شرکت,saying,asteroid,with
war,دشمنی کردن,country,surrounding,statistics
slow,بطی,human,professor,than
list,فهرست,war,open,Afghanistan
English,انگلیسی,in,word,black
view,منظره,valve,straight,Kerman
case,پرونده,pond,kilometer,finally
such as,مانند,marriage,stem,go
the majority of,بیشتر,place,sweet,Egypt
music,موسیقی,club,first,white
zone,ناحیه دسته بندی,winter,professor,bank
period,مدت,law,based on,demise
very,خیلی,limited,finished,writer
under,کسری دار,small,westerner,king
three,سه لو,Mohammed,fire,art
publishing,طبع,post,politics,boy
Persian,فارسی,child,birth,Europe
Ali,علی,reaction,currently,possible
organization,سازمان,percentage,free,Ziad
shout,هورا کشیدن,surely,ugly,role
works,آثار,soul,what,territory
news,اخبار,murdered,subject,your
foundation,پایه,murder,last,Dollar
fulfillment,ایفاء,tower,father,Asia
but,ولی,station,society,king
world,سرای,resumption,local,Saudi Arabia
statistics,ارقام,Britain,way,twenty
death,موت,age of,more,minute
republic,جمهوریت,scared,go,presence
middle,میانی,Greek,space,message
way,وسایل,Tabriz,transfer,go
several,چند تا,size,project,real
play,بازی,struggle,sentence,speed
some,مقداری,Afghanistan,return visit,industrious
first,نزست,surname,new,stop
state,ایالت,religious,beautiful,February
start,عزیمت کردن,illegal,Saudi Arabia,central
activity,فعالیت,on,off,album
given,مفروض,street,factors,then
village,آبادی,India,mean,state
trace,اثر,new,normal,king
south,جنوب,matter,hot,book
oriental,زردپوست,military,increase,report
westerner,غربی,Pope,park,technical
type,گون,iron,stay,sun
Shah,شاه,mother,beneath,union
official,صاحب منصب,currently,lazy,Arabic
government,دولت,economy,sweet,in
gloomy,گرفته,usually,city,portion
limits,حدود,big,territory,imaginary
production,ساخت,closed,championship,skilled
role,رل,trip,probability,sun
time,زمان,Germany,good,Khan
formation,تکون,frontier,Khorasan,guidance
soccer,فوتبال,their,ranks,go
with,به همراه,gauze,June,region
many,بسا,rank,Mr.,go
only,یگانه,careful,method,third
north,شمال,Germanic,network,thirty
diplomatic,سیاسی,three,foot,entered
do,به انجام رساندن,rukh,year,novel
including,شامل,unconditional,time,uncertain
moon,قمر,surely,include,ruling
if,چنانچه,real,century,on
become,در آمدن,republic,ranks,year old
seizure,گرفت,state,made,dry
period,مدت,spring,specific,relevant
must,باید,soldier,whenever,tree
collection,منظومه,works,young,school
political party,حزبی,famous,cause,table
source,محل,Kurdish,mean,often
creation,خلق,crooked,careful,functions
sentence,فتوا,first,park,oriental
worldwide,جهانی,king,order,like
foundation,پایه,revolution,Afghanistan,Abbas
the same,همین,with,America,cheap
land,فرود آوردن,stranger,people,everybody
various,متعدد,with,series,probability
upon,بمجرد,season,original,energetic
way,وسایل,top,sediment,turkish
made,ساخته شده,sea,beginning,sour
sign,امضا کردن,subordinate,and,
children,اولاد,rule,Taraneh,history
revolution,انقلاب,appearance,stranger,old
Farhang,فرهنگ,weak,strong,do
length,طول,top,Imam,Iraq
everybody,همه,beneath,French,easy
meter,پارکومتر,row,Persian,complete
science,علم,state,resident,Aban
trohpy,جایزه,general,machine,but also
stroke,نوازش کردن,increase,,rarely
structure,ساختمان,foundation,sometimes,provision
individuals,افراد,technical,late,truth
more,بیش,stranger,bitter,monetary
team,دسته درست کردن,history,publishing,system
threshold,درگاه,old,decade,some
historic,تاریخی,specially for,trip,seriously
reason,برهان آوردن,stomach,surely,humane
area,سطح,imprison,laugh,toward
finished,پایان یافته,laugh,open,lunar
France,فرانسه,five,sign,bitter
united,موتلف,fresh,elections,Mosque
because,چونکه,Persian,municipality,diary
extra,اضافه,music,ministry,service
famous,معروف,uderstood,made,law
seyyed,سید,cry,utilization,uderstood
paying attention,توجه,easy,poet,Islam
Hey,ای,young,same,growth
Arabic,عربی,sweet,known,musical instrument
first,نزست,winter,king,beneath
same,همان جور,agreement,foot,proximity
system,سیستم,idle,uncertain,sweet
my,متعلق بمن,political party,universal,ignorance
end,انقطاع یافتن,style,knowledge,spreading
hejira,هجری,distribution,under,soft
appearance,سیما,stranger,work,country
novel,جدید,watery,some,free
doctor,دکتر,illegal,mother,loaded
finding,یافت,volume,play,beautiful
number,نمره,stage manager,born,corps
thousand,هزار,cause,passing,kind
parliament,کنگره,Mr.,big,country
schedule,زمان بندی کردن,other,leadership,successful
Ahmed,احمد,watery,strong,spirit
scientific,علمی,friend,square,closed
saying,گفتار مشهور,protection,flat,corps
suburbs,حول و حوش,bad,young,Mosque
reason,برهان آوردن,Mehdi,Tehran,Mahmud
Sinai Mountain,طور,definition,place,stranger
century,صده,life,use,except
before,قبل ازاینکه,family,left,sale
Islam,اسلام,old,ugly,start
third,سومین,fight,decade,rest
writer,ارباب قلم,chemical,Mahmud,point
that is,یعنی,person,watery,written
free,بیعوض,sources,perception,expensive
rewards,جوایز,strength,society,road
capable,باعرزه,effective,Paul,red
stranger,نا محرم,king,provision,Italy
birth,ولادت,Mehr,ugly,beginning
variation,تغییر,beginning,remembering,old
story,داستان گفتن,end,percentage,united
house,چاردیواری,verdict,Farhang,only
time,زمان,imprison,providing,recognition
we,ما,girl,inhabitant,street
sign,امضا کردن,frontier,cause,moon
under,کسری دار,in,inside,outside
Germany,آلمان,period,industrious,bad
rule,حکمرانی,growth,immigration,winner
translation,ترجمه و اقتباس,illness,orchard,understanding
relation,رابطه,knowledge,strong,specially for
cause,علت,westerner,small,mother
while,مادامیکه,court,new,Qom
entered,وارد,straight,number,girl
field of study,رشته,above,last,ignorance
written,مسطور,real,careless,remaining
Hossein,حسین,combination,last,story
manager,کارفرمان,respect,primitive,by
release,رها ساختن,unknown,social,young
side,جانبی,mean,cry,operations
kilometer,کیلومتر,execution,left,happy
Mosque,مسجد,works,ugly,right
the other,دیگری,best,bottom,time
law,حقوق,ugly,too,beginning
southern,بطرف جنوب,dam,performance,utilization
then,آنگه,polishing,go,list
universal,جامع,best,cause,sea
resumption,ادامه,step,memory,law
god,الله,increase,brave,biography
cultural,فرهنگی,idle,straight,all
four,عدد چهار,eight,source,interior
published,منتشر شده,resulting,Kerman,today
toward,به طرف,left,exclude,include
without,بلا,bottom,festival,Esmail
Khan,خان,white,while,middle
census,آمارگیری,crooked,and,october
album,آلبوم,uncertain,zone,town
fortress,حصن,year old,talented,no
thermometer,حرارتسنج,first,former,and
relevant,مربوط,official,victory,performance
surface,رویه,some,winter,office
actress,بازیگرزن,series,Esmail,marriage
paint,نقش کردن,road,paying attention,subject
up,بالا,black,royal,Hasan
what,چه,number,inside,Esfehan
sheik,شیخ,protection,way,asleep
selection,انتخاب,my,saying,best
training,شاگردی,social,stop,expansion
woman,نساء,then,help,conflict
significant,معنی دار,group,zinc,music
club,مجمع,girl,letter,seriously
place,جای,musical instrument,weather,closed
method,نحوه,religious,Asia,after
announcement,اعلام,group,sour,movement
term,دور,thousand,appearance,star
spread,ولو شدن,former,boy,beginning
west,باختر,Persian,give,hard
mountain,کوه,creature,passing,united
Europe,فرنگ,Shahrivar,manner,most
no,هیچ,opposite,Islam,domain
newspaper,روزنامه,Egypt,last,blood
complete,درسته,inspection,conflict,olympic
start,عزیمت کردن,visage,role,reason
share,نصیب,Mohammed,murder,million
Iraq,عراق,wet,communist,sweet
northern,شمالی,sweet,source,revolution
social,اجتماعی,old,five,ancient.
possible,امکان پذیر,report,centers,typical
